# Roman WFI Filter Transmission Curve
# Filter Name: F129
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 1.110	     0.0000000
 1.111	     0.0000000
 1.112	     0.0000000
 1.113	     0.0000051
 1.114	     0.0000279
 1.115	     0.0001267
 1.116	     0.0004877
 1.117	     0.0016101
 1.118	     0.0046199
 1.119	     0.0115060
 1.120	     0.0250908
 1.121	     0.0483347
 1.122	     0.0832797
 1.123	     0.1302616
 1.124	     0.1878500
 1.125	     0.2533710
 1.126	     0.3233193
 1.127	     0.3929142
 1.128	     0.4559561
 1.129	     0.5064190
 1.130	     0.5411778
 1.131	     0.5613548
 1.132	     0.5710380
 1.133	     0.5747901
 1.134	     0.5759530
 1.135	     0.5762494
 1.136	     0.5762938
 1.137	     0.5762431
 1.138	     0.5762152
 1.139	     0.5762723
 1.140	     0.5763825
 1.141	     0.5764762
 1.142	     0.5764889
 1.143	     0.5764053
 1.144	     0.5763267
 1.145	     0.5763571
 1.146	     0.5764230
 1.147	     0.5764331
 1.148	     0.5763926
 1.149	     0.5763356
 1.150	     0.5762976
 1.151	     0.5762862
 1.152	     0.5762482
 1.153	     0.5761544
 1.154	     0.5761038
 1.155	     0.5761709
 1.156	     0.5762165
 1.157	     0.5760873
 1.158	     0.5759353
 1.159	     0.5759188
 1.160	     0.5759708
 1.161	     0.5759796
 1.162	     0.5759112
 1.163	     0.5757719
 1.164	     0.5756389
 1.165	     0.5755895
 1.166	     0.5755692
 1.167	     0.5755122
 1.168	     0.5754907
 1.169	     0.5755489
 1.170	     0.5755540
 1.171	     0.5753728
 1.172	     0.5751423
 1.173	     0.5750144
 1.174	     0.5749611
 1.175	     0.5749054
 1.176	     0.5748345
 1.177	     0.5747559
 1.178	     0.5747319
 1.179	     0.5748091
 1.180	     0.5748674
 1.181	     0.5747838
 1.182	     0.5746698
 1.183	     0.5746267
 1.184	     0.5745925
 1.185	     0.5744709
 1.186	     0.5743062
 1.187	     0.5741416
 1.188	     0.5740465
 1.189	     0.5740554
 1.190	     0.5740250
 1.191	     0.5738502
 1.192	     0.5736804
 1.193	     0.5736538
 1.194	     0.5736272
 1.195	     0.5734550
 1.196	     0.5732852
 1.197	     0.5732611
 1.198	     0.5732586
 1.199	     0.5731345
 1.200	     0.5729761
 1.201	     0.5729065
 1.202	     0.5728710
 1.203	     0.5728140
 1.204	     0.5727684
 1.205	     0.5727798
 1.206	     0.5727557
 1.207	     0.5726113
 1.208	     0.5723947
 1.209	     0.5722034
 1.210	     0.5720932
 1.211	     0.5720932
 1.212	     0.5720565
 1.213	     0.5718740
 1.214	     0.5716764
 1.215	     0.5716093
 1.216	     0.5716410
 1.217	     0.5716828
 1.218	     0.5716397
 1.219	     0.5714547
 1.220	     0.5712913
 1.221	     0.5712926
 1.222	     0.5713243
 1.223	     0.5712305
 1.224	     0.5711190
 1.225	     0.5711064
 1.226	     0.5710975
 1.227	     0.5709860
 1.228	     0.5708695
 1.229	     0.5708302
 1.230	     0.5707910
 1.231	     0.5706503
 1.232	     0.5704793
 1.233	     0.5703501
 1.234	     0.5702538
 1.235	     0.5701728
 1.236	     0.5700676
 1.237	     0.5699245
 1.238	     0.5698447
 1.239	     0.5698789
 1.240	     0.5698611
 1.241	     0.5696521
 1.242	     0.5694672
 1.243	     0.5695014
 1.244	     0.5695407
 1.245	     0.5693684
 1.246	     0.5691518
 1.247	     0.5690948
 1.248	     0.5691150
 1.249	     0.5690910
 1.250	     0.5690175
 1.251	     0.5689047
 1.252	     0.5687755
 1.253	     0.5686767
 1.254	     0.5686197
 1.255	     0.5686248
 1.256	     0.5686172
 1.257	     0.5685488
 1.258	     0.5683841
 1.259	     0.5681459
 1.260	     0.5679813
 1.261	     0.5680091
 1.262	     0.5680725
 1.263	     0.5680307
 1.264	     0.5679407
 1.265	     0.5679065
 1.266	     0.5678457
 1.267	     0.5676671
 1.268	     0.5674910
 1.269	     0.5674391
 1.270	     0.5674353
 1.271	     0.5674062
 1.272	     0.5673884
 1.273	     0.5674239
 1.274	     0.5673821
 1.275	     0.5671629
 1.276	     0.5669767
 1.277	     0.5670223
 1.278	     0.5671604
 1.279	     0.5672123
 1.280	     0.5671275
 1.281	     0.5669311
 1.282	     0.5667550
 1.283	     0.5667373
 1.284	     0.5668032
 1.285	     0.5668792
 1.286	     0.5668944
 1.287	     0.5668222
 1.288	     0.5667360
 1.289	     0.5667348
 1.290	     0.5667702
 1.291	     0.5667854
 1.292	     0.5667639
 1.293	     0.5667056
 1.294	     0.5666816
 1.295	     0.5667297
 1.296	     0.5667601
 1.297	     0.5667006
 1.298	     0.5666588
 1.299	     0.5667538
 1.300	     0.5668665
 1.301	     0.5668652
 1.302	     0.5668006
 1.303	     0.5667512
 1.304	     0.5667525
 1.305	     0.5668171
 1.306	     0.5669222
 1.307	     0.5670515
 1.308	     0.5671427
 1.309	     0.5671731
 1.310	     0.5672858
 1.311	     0.5675645
 1.312	     0.5677875
 1.313	     0.5677368
 1.314	     0.5676076
 1.315	     0.5676278
 1.316	     0.5677583
 1.317	     0.5678989
 1.318	     0.5680003
 1.319	     0.5680231
 1.320	     0.5680459
 1.321	     0.5681383
 1.322	     0.5682752
 1.323	     0.5684006
 1.324	     0.5685044
 1.325	     0.5685880
 1.326	     0.5686831
 1.327	     0.5687996
 1.328	     0.5688857
 1.329	     0.5689073
 1.330	     0.5689453
 1.331	     0.5691138
 1.332	     0.5693278
 1.333	     0.5694963
 1.334	     0.5695875
 1.335	     0.5696027
 1.336	     0.5696686
 1.337	     0.5698599
 1.338	     0.5700068
 1.339	     0.5699612
 1.340	     0.5698700
 1.341	     0.5699131
 1.342	     0.5700499
 1.343	     0.5702158
 1.344	     0.5703615
 1.345	     0.5704768
 1.346	     0.5705756
 1.347	     0.5706997
 1.348	     0.5708062
 1.349	     0.5708733
 1.350	     0.5709075
 1.351	     0.5709341
 1.352	     0.5709379
 1.353	     0.5709113
 1.354	     0.5709202
 1.355	     0.5710139
 1.356	     0.5710658
 1.357	     0.5709898
 1.358	     0.5709392
 1.359	     0.5710506
 1.360	     0.5711748
 1.361	     0.5711368
 1.362	     0.5710190
 1.363	     0.5709366
 1.364	     0.5708847
 1.365	     0.5708581
 1.366	     0.5708872
 1.367	     0.5710000
 1.368	     0.5711114
 1.369	     0.5711355
 1.370	     0.5710975
 1.371	     0.5710342
 1.372	     0.5709848
 1.373	     0.5709670
 1.374	     0.5709822
 1.375	     0.5710190
 1.376	     0.5710608
 1.377	     0.5710836
 1.378	     0.5710468
 1.379	     0.5709531
 1.380	     0.5708594
 1.381	     0.5708264
 1.382	     0.5708100
 1.383	     0.5707466
 1.384	     0.5706123
 1.385	     0.5704135
 1.386	     0.5702703
 1.387	     0.5702728
 1.388	     0.5703032
 1.389	     0.5702412
 1.390	     0.5702488
 1.391	     0.5704502
